-1,-1,未知
0,0,五菱
1,1,丰田
2,2,本田
3,3,现代
4,4,一汽
5,5,大众
6,6,别克
7,7,标致
8,8,福特
9,9,尼桑
10,10,雪铁龙
11,11,奥迪
12,12,雪佛兰
13,13,起亚
14,14,红旗
15,15,长安
16,16,长城
17,17,东南汽车
18,18,金杯
19,19,马自达
20,20,三菱
21,21,夏利
22,22,东风风神
23,23,比亚迪
24,24,恒通
25,25,奇瑞
26,26,华普
27,27,铃木
28,28,宇通
29,29,金龙
30,30,哈飞
31,31,吉利
32,32,奔驰
33,33,长城(旧)
34,34,比亚迪(旧)
35,35,铃木(字母)
36,36,宝马
37,37,中华
38,38,斯柯达
39,39,威麟
40,40,猎豹
41,41,众泰
42,42,力帆
43,43,福田
44,44,英菲尼迪
45,45,雷克萨斯
46,46,斯巴鲁
47,47,雷诺
48,48,沃尔沃
49,49,江淮
50,50,海格
51,51,金旅
52,52,jeep
53,53,MG
54,54,上汽大通
55,55,东风风度
56,56,东风风行
57,57,中兴
58,58,中顺
59,59,五十铃
60,60,依维柯
61,61,保时捷
62,62,克莱斯勒
63,63,凯迪拉克
64,64,北汽
65,65,华泰
66,66,双龙
67,67,黄海
68,68,奔腾
69,69,宝骏
70,70,中通
71,71,宾利
72,72,广汽
73,73,庆铃
74,74,捷豹
75,75,昌河
76,76,江铃
77,77,海马
78,78,福特(江铃)
79,79,纳智捷
80,80,荣威
81,81,莲花
82,82,菲亚特
83,83,讴歌
84,84,三一
85,85,中国重汽
86,86,五征
87,87,凯马
88,88,北京
89,89,北奔
90,90,华菱
91,91,唐骏
92,92,红岩
93,93,解放
94,94,跃进
95,95,陕汽
96,96,飞碟
97,97,路虎
98,98,道奇
99,99,陆风
1001,1001,徐工
9009,9009,阿斯顿·马丁
9019,9019,阿尔法·罗密欧
9029,9029,迈巴赫
9039,9039,迈凯轮
9049,9049,路特斯
9059,9059,观致
9069,9069,福迪
9079,9079,理念
9089,9089,玛莎拉蒂
9099,9099,法拉利
9109,9109,汇众
9119,9119,欧朗
9129,9129,欧宝
9139,9139,林肯
9149,9149,摩根
9159,9159,恒天
9169,9169,开瑞
9179,9179,布加迪
9189,9189,巴博斯
9199,9199,大通
9209,9209,哈弗
9219,9219,启辰
9229,9229,英伦
9239,9239,帝豪
9249,9249,全球鹰
9259,9259,劳斯莱斯
9269,9269,兰博基尼
9279,9279,光冈
9289,9289,保斐利
9299,9299,俊风
9309,9309,九龙
9319,9319,TESLA
9329,9329,Smart
9339,9339,MINI
9349,9349,GMC
9359,9359,DS
9369,9369,AC Schnitzer
